s,e,n,type,text
2,2,2,r,Eat me. Fastest wins.
2,2,3,r,Make the best music video for a nursery rhyme. You have one hour. Your time starts now.
2,2,4,r,Using this camera take a picture of an inanimate object that looks like you. Closest resemblence wins. Your time starts now.
2,2,5,r,Order the following pizza for the taskmaster: extra large vegetarian pizza with pepperioni and bacon without tomato and cheese. You may not use the follwing words: extra large vegetarian pizza pepperoni bacon tomato cheese. You get a bonus point if you can make the pizza person say bubbles.
2,2,6,s,Using these big chopsticks get these potatoes into your basket. You must only hold the big chopsticks on the grips provided. The big chopsticks alone may touch the potatoes. Whoever has the most potatoes in their basket after 100 seconds wins.
2,3,1,p,best dinner party guest.
2,3,2,r,Impress this mayor. You have a maximum of twenty minutes. Your time starts now.
2,3,3,r,Make the most unexpected silhouette on this screen. You have thirty minutes. Your time starts now.
2,3,4,r,Buy a gift for the taskmaster. You have twenty weeks.
2,3,5,rt,1: Put on this blindfold then instruct only the person closest to you to open their task. 2: Put the earplugs in your ears and the ear protectors over the earplugs then continue reading. You must remain within your bandstand. Instruct the next person to open their task. 3: Do not read this out loud. Get a potato. Fastest wins.
2,3,6,s,Throw the rabbits into your hat. The person with the most rabbits in their hat after one hundred seconds wins.
2,4,1,p,coolest blue thing.
2,4,2,r,Rescue the cat. Best rescue wins. Your time starts now. Answers to the name Patatas.
2,4,3,r,Conceal this pineapple on your person. No part of the pineapple may be thrown away. You have twenty minutes after which Alex will inspect you. Most incorrect guesses wins. Your time starts now.
2,4,4,r,Set a fun task. Your task must take no more than one minute. You have ten minutes. Your time starts now. 
2,4,4,c3,Prove how strong you are. Whoever looks the strongest wins. You have one minute. Your time starts now.
2,4,4,c3,Enjoy this clip of the taskmaster. Whoever finds it the funniest wins. Your time starts now.
2,4,4,c3,Perform a recognisible rendition of the William Tell overture using just your hands and cheeks. You have one minute and one attempt. Your time starts now.
2,4,4,c3,Present a makeup tutorial. Best tutorial wins. You have one minute. Your time starts now.
2,4,5,rt,Using only the items on the rug construct the best thing for the taskmaster. You have thirty minutes. Your time starts now.
2,4,6,s,Create the highest tower using only these potato based items. Your potato tower must be self standing. Your potato tower must be built on the table. Your potato tower will be measured from the table top to the highest potato point. You have one hundred seconds.
2,5,1,p,best piece of memorabilia.
2,5,2,r,Get all this shopping into the shopping trolley. Fastest wins. Your time starts now.
2,5,3,rt,Make the best stop motion film starring this potato. You have one hour. Your time starts now.
2,5,4,r,Make a bridge over the river using only items on this table. Highest self supporting bridge wins. The bridge alone must support the potato. You must not touch the taskmaster's house. You have twenty minutes. Your time starts now.
2,5,5,s,Put on a pair of food handling gloves. Eat a whole banana correctly. Put on a tie. Clap as many times as possible. All tasks must be completed in one hundred seconds. Most claps wins.
